casename,judge_name,girls,any_girls,progressive_vote,republican,age,catholic,woman,african,hispanic,child,femplaintiff,area,religion,race,circuit,year
Butler v. West,"Wald, Patricia M.",3,1,1,0,51,NA,1,0,0,5,1,employment,NA,1,DC,1999
Currier v. Radio Free Europe/Radio Liberty,"Silberman, Laurence H.",2,1,1,1,50,0,0,0,0,3,0,employment,5,1,DC,1998
Smith-Haynie v. District of Columbia,"Wald, Patricia M.",3,1,0,0,51,NA,1,0,0,5,1,employment,NA,1,DC,1998
Lutheran Church-Missouri Synod v. FCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,employment,NA,NA,DC,1998
Griffin v. Washington Convention Ctr.,"Ginsburg, Douglas, H.",3,1,1,1,40,0,0,0,0,3,1,employment,5,1,DC,1998
Kolstad v. Ada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,employment,NA,NA,DC,1998
Thomas v. NFL Players Ass'n,"Edwards, Harry T.",1,1,0,0,40,0,0,1,0,2,1,employment,8,2,DC,1997
Kolstad v. ADA,"Wald, Patricia M.",3,1,1,0,51,NA,1,0,0,5,1,employment,NA,1,DC,1997
East v. Graphic Arts Indus. Joint Pension Trust,"Edwards, Harry T.",1,1,1,0,40,0,0,1,0,2,1,pregnancy,8,2,DC,1997
Miller v. Christopher,"Wald, Patricia M.",3,1,1,0,51,NA,1,0,0,5,NA,immigration,NA,1,DC,1996
Hartman v. Duffey,"Silberman, Laurence H.",2,1,1,1,50,0,0,0,0,3,1,employment,5,1,DC,1996
Terry v. Reno,"Williams, Stephen F.",2,1,1,1,50,NA,0,0,0,5,1,abortion,NA,1,DC,1996
AT&T v. EEOC,"Ginsburg, Douglas, H.",3,1,1,1,40,0,0,0,0,3,1,pregnancy,5,1,DC,2001
Foley v. Commonwealth Elec. Co.,"Selya, Bruce M.",2,1,0,1,52,0,0,0,0,2,1,employment,5,1,1,2002
"Rosado v. Radio Shack, Inc.","Boudin, Michael",1,1,0,1,53,0,0,0,0,3,1,employment,5,1,1,2002
Gu v. Boston Police Dep't,"Torruella del Valle, Juan R.",NA,NA,0,1,51,1,0,0,1,4,1,employment,4,3,1,2002
"Crowley v. L.L. Bean, Inc.","Greenberg, Morton I.",2,1,1,1,54,0,0,0,0,3,1,employment,5,1,1,2002
"Marrero v. Goya of P.R., Inc.","Boudin, Michael",1,1,1,1,53,0,0,0,0,3,1,employment,5,1,1,2002
Gorski v. N.H. Dep't of Corr.,"Torruella del Valle, Juan R.",NA,NA,1,1,51,1,0,0,1,4,1,employment,4,3,1,2002
"Gray v. Genlyte Group, Inc.","Boudin, Michael",1,1,0,1,53,0,0,0,0,3,1,employment,5,1,1,2002
"Conto v. Concord Hosp., Inc.","Torruella del Valle, Juan R.",NA,NA,0,1,51,1,0,0,1,4,1,employment,4,3,1,2001
Zimmerman v. Direct Fed. Credit Union,"Selya, Bruce M.",2,1,1,1,52,0,0,0,0,2,1,employment,5,1,1,2001
Kirk v. Hitchcock Clinic,"Boudin, Michael",1,1,0,1,53,0,0,0,0,3,1,employment,5,1,1,2001
Laro v. New Hampshire,"Lynch, Sandra",0,0,0,0,49,1,1,0,0,1,0,employment,4,1,1,2001
"Davis v. Lucent Techs., Inc.","Lipez, Kermit",2,1,0,0,NA,NA,0,NA,NA,2,1,employment,NA,NA,1,2001
"Straughn v. Delta Air Lines, Inc.","Selya, Bruce M.",2,1,0,1,52,0,0,0,0,2,1,employment,5,1,1,2001
Alberty-Velez v. Corporacion de P.R. Para la Diffusion Publica,"Lipez, Kermit",2,1,1,0,NA,NA,0,NA,NA,2,1,employment,NA,NA,1,2001
O'Rourke v. City of Providence,"Torruella del Valle, Juan R.",NA,NA,1,1,51,1,0,0,1,4,1,employment,4,3,1,2001
"Conetta v. Nat'l Hair Care Ctrs., Inc.","Boudin, Michael",1,1,1,1,53,0,0,0,0,3,1,employment,5,1,1,2001
Romano v. U-Haul Int'l,"Torruella del Valle, Juan R.",NA,NA,1,1,51,1,0,0,1,4,1,employment,4,3,1,2000
Megwinoff v. Banco Bilbao Vizcaya,"Lynch, Sandra",0,0,0,0,49,1,1,0,0,1,1,employment,4,1,1,2000
Rodriguez v. SmithKline Beecham,"Torruella del Valle, Juan R.",NA,NA,0,1,51,1,0,0,1,4,1,employment,4,3,1,2000
White v. New Hampshire Dep't of Corrections,"Selya, Bruce M.",2,1,1,1,52,0,0,0,0,2,1,employment,5,1,1,2000
Williams v. Raytheon Co.,"Torruella del Valle, Juan R.",NA,NA,0,1,51,1,0,0,1,4,0,employment,4,3,1,2000
Santiago-Ramos v. Centennial P.R. Wireless Corp.,"Torruella del Valle, Juan R.",NA,NA,1,1,51,1,0,0,1,4,1,employment,4,3,1,2000
Rosa v. Park West Bank & Trust Co.,"Lynch, Sandra",0,0,1,0,49,1,1,0,0,1,0,employment,4,1,1,2000
"Higgins v. New Balance Ath. Shoe, Inc.","Selya, Bruce M.",2,1,0,1,52,0,0,0,0,2,0,employment,5,1,1,1999
Wills v. Brown Univ.,"Boudin, Michael",1,1,0,1,53,0,0,0,0,3,1,employment,5,1,1,1999
Campos-Orrego v. Rivera,"Selya, Bruce M.",2,1,1,1,52,0,0,0,0,2,1,employment,5,1,1,1999
"Rosenberg v. Merrill Lynch, Pierce, Fenner & Smith, Inc.","Boudin, Michael",1,1,1,1,53,0,0,0,0,3,1,employment,5,1,1,1999
Lennon v. Rubin,"Boudin, Michael",1,1,0,1,53,0,0,0,0,3,1,employment,5,1,1,1999
Tang v. Department of Ederly Affairs,"Boudin, Michael",1,1,1,1,53,0,0,0,0,3,1,employment,5,1,1,1998
Carey v. Mt. Desert Island Hosp.,"Coffin, Frank",3,1,1,0,46,0,0,0,0,4,0,employment,3,1,1,1998
Provencher v. CVS Pharm.,"Lynch, Sandra",0,0,1,0,49,1,1,0,0,1,0,employment,4,1,1,1998
Troy v. Bay State Computer Group,"Torruella del Valle, Juan R.",NA,NA,1,1,51,1,0,0,1,4,1,employment,4,3,1,1998
Brennan v. King,"Boudin, Michael",1,1,1,1,53,0,0,0,0,3,0,employment,5,1,1,1998
McMillan v. Massachusetts SPCA,"Stahl, Norman H.",NA,NA,1,1,61,0,0,0,0,2,1,employment,5,1,1,1998
DeNovellis v. Shalala,"Stahl, Norman H.",NA,NA,0,1,61,0,0,0,0,2,1,employment,5,1,1,1998
Hayden v. Grayson,"Boudin, Michael",1,1,0,1,53,0,0,0,0,3,1,equal protection,5,1,1,1998
Rodriguez-Hernandez v. Miranda-Velez,"Lynch, Sandra",0,0,1,0,49,1,1,0,0,1,1,employment,4,1,1,1998
Coutin v. Young & Rubicam P.R.,"Selya, Bruce M.",2,1,1,1,52,0,0,0,0,2,1,employment,5,1,1,1997
Serapion v. Martinez,"Selya, Bruce M.",2,1,0,1,52,0,0,0,0,2,1,employment,5,1,1,1997
Randlett v. Shalala,"Boudin, Michael",1,1,0,1,53,0,0,0,0,3,1,employment,5,1,1,1997
Molloy v. Blanchard,"Cyr, Conrad F.",0,0,1,1,58,1,0,0,0,2,1,employment,4,1,1,1997
Morrison v. Carleton Woolen Mills,"Selya, Bruce M.",2,1,1,1,52,0,0,0,0,2,1,employment,5,1,1,1997
Legault v. Zambarano,"Cyr, Conrad F.",0,0,1,1,58,1,0,0,0,2,1,employment,4,1,1,1997
Selgas v. American Airlines,"Torruella del Valle, Juan R.",NA,NA,1,1,51,1,0,0,1,4,1,employment,4,3,1,1997
Soto v. Flores,"Torruella del Valle, Juan R.",NA,NA,0,1,51,1,0,0,1,4,1,equal protection,4,3,1,1997
Lawton v. State Mut. Life Assur. Co. of Am.,"Selya, Bruce M.",2,1,0,1,52,0,0,0,0,2,1,employment,5,1,1,1996
Cohen v. Brown Univ.,"Torruella del Valle, Juan R.",NA,NA,1,1,51,1,0,0,1,4,1,Title IX,4,3,1,1996
Perkins v. Londonderry Basketball Club,"Selya, Bruce M.",2,1,0,1,52,0,0,0,0,2,1,equal protection,5,1,1,1999
Santiago v. Canon U.S.A.,"Cyr, Conrad F.",0,0,0,1,58,1,0,0,0,2,1,equal protection,4,1,1,1998
Rodriguez-Hernandez v. Miranda-Velez,"Lynch, Sandra",0,0,1,0,49,1,1,0,0,1,1,employment,4,1,1,1998
Cohen v. Brown Univ.,"Torruella del Valle, Juan R.",NA,NA,0,1,51,1,0,0,1,4,1,Title IX,4,3,1,1996
Mario v. P & C Food Mkts.,"McLaughlin, Joseph W.",1,1,0,1,57,1,0,0,0,4,1,employment,4,1,2,2002
Min Jin v. Metro. Life Ins. Co.,"Feinberg, Wilfred",2,1,1,0,46,0,0,0,0,3,1,employment,5,1,2,2002
Alfano v. Costello,"Walker, John M., Jr.",1,1,0,1,49,0,0,0,0,1,1,employment,2,1,2,2002
Grillo v. N.Y. City Transit Auth.,"Walker, John M., Jr.",1,1,0,1,49,0,0,0,0,1,1,employment,2,1,2,2002
Zervos v. Verizon N.Y.,"Jacobs, Dennis G.",0,0,0,1,48,0,0,0,0,0,0,insurance,5,1,2,2002
Morales v. Mackalm,"Cardamone, Richard J.",0,0,1,1,56,1,0,0,0,0,0,employment,4,1,2,2002
Phillips v. Bowen,"McLaughlin, Joseph W.",1,1,1,1,57,1,0,0,0,4,1,employment,4,1,2,2002
"Legnani v. Alitalia Linee Aeree Italiane, S.P.A.","Oakes, James L.",2,1,1,1,47,0,0,0,0,3,1,employment,1,1,2,2001
Martens v. Thomann,"Calabresi, Guido",2,1,1,0,NA,1,0,0,0,3,1,employment,4,1,2,2001
Weeks v. New York State,"Walker, John M., Jr.",1,1,0,1,49,0,0,0,0,1,1,employment,2,1,2,2001
Garcia v. Akwesasne Hous. Auth.,"Jacobs, Dennis G.",0,0,1,1,48,0,0,0,0,0,1,employment,5,1,2,2001
McGuinness v. Lincoln Hall,"Leval, Pierre Nelson",1,1,0,0,NA,1,0,0,0,1,1,employment,4,1,2,2001
Brennan v. N.Y. City Bd. of Educ.,"Cardamone, Richard J.",0,0,1,1,56,1,0,0,0,0,0,employment,4,1,2,2001
Brown v. Henderson,"Calabresi, Guido",2,1,0,0,NA,1,0,0,0,3,1,employment,4,1,2,2001
Rose v. N.Y. City Bd. of Educ.,"Feinberg, Wilfred",2,1,1,0,46,0,0,0,0,3,1,employment,5,1,2,2001
Holtz v. Rockefeller & Co.,"Newman, Jon O.",1,1,1,0,47,0,0,0,0,3,1,employment,5,1,2,2001
Cifra v. GE,"Kearse, Amalya Lyle",0,0,1,0,42,NA,1,1,0,0,1,employment,NA,2,2,2001
Leibovitz v. New York City Transit Auth.,"McLaughlin, Joseph W.",1,1,0,1,57,1,0,0,0,4,1,employment,4,1,2,2001
Harris v. Niagara Mohawk Power Corp.,"Kearse, Amalya Lyle",0,0,1,0,42,NA,1,1,0,0,0,employment,NA,2,2,2001
Zimmermann v. Assocs. First Capital Corp.,"Feinberg, Wilfred",2,1,1,0,46,0,0,0,0,3,1,employment,5,1,2,2001
Fitzgerald v. Henderson,"Kearse, Amalya Lyle",0,0,1,0,42,NA,1,1,0,0,1,employment,NA,2,2,2001
Gregory v. Daly,"Calabresi, Guido",2,1,1,0,NA,1,0,0,0,3,1,employment,4,1,2,2001
Raniola v. Bratton,"Straub,  Chester",0,0,1,0,NA,NA,0,NA,NA,4,1,employment,NA,NA,2,2001
Byrnie v. Town of Cromwell Bd. of Educ.,"Walker, John M., Jr.",1,1,1,1,49,0,0,0,0,1,0,employment,2,1,2,2001
Meloff v. New York Life Ins. Co.,"Walker, John M., Jr.",1,1,1,1,49,0,0,0,0,1,1,employment,2,1,2,2001
Lavin-Mceleney v. Marist College,"Walker, John M., Jr.",1,1,1,1,49,0,0,0,0,1,1,employment,2,1,2,2001
Flaherty v. Metromail Corp.,"Miner, Roger J.",0,0,1,1,51,0,0,0,0,4,1,employment,5,1,2,2000
Lake v. Reno,"Oakes, James L.",2,1,1,1,47,0,0,0,0,3,0,immigration,1,1,2,2000
Weinstock v. Columbia Univ.,"Cardamone, Richard J.",0,0,1,1,56,1,0,0,0,0,1,employment,4,1,2,2000
Simonton v. Runyon,"Walker, John M., Jr.",1,1,0,1,49,0,0,0,0,1,0,employment,2,1,2,2000
Simonton v. Runyon,"Walker, John M., Jr.",1,1,0,1,49,0,0,0,0,1,1,employment,2,1,2,2000
Wolak v. Spucci,"Van Graafeiland, Ellsworth A.",3,1,1,1,60,0,0,0,0,5,1,employment,8,1,2,2000
Howley v. Town of Stratford,"Kearse, Amalya Lyle",0,0,1,0,42,NA,1,1,0,0,1,employment,NA,2,2,2000
Clark v. New York State Elec. & Gas Corp.,"Leval, Pierre Nelson",1,1,0,0,NA,1,0,0,0,1,1,employment,4,1,2,2000
Butler v. New York State Dep't of Law,"Van Graafeiland, Ellsworth A.",3,1,0,1,60,0,0,0,0,5,1,employment,8,1,2,2000
Ryduchowski v. Port Auth.,"Kearse, Amalya Lyle",0,0,1,0,42,NA,1,1,0,0,1,employment,NA,2,2,2000
"Cruz v. Coach Stores, Inc.","Jacobs, Dennis G.",0,0,1,1,48,0,0,0,0,0,1,employment,5,1,2,2000
"Bloom v. Jewish Home for the Elderly, Inc.","Feinberg, Wilfred",2,1,0,0,46,0,0,0,0,3,0,employment,5,1,2,2000
Boos v. Runyon,"Jacobs, Dennis G.",0,0,0,1,48,0,0,0,0,0,1,employment,5,1,2,2000
Sawenko v. Lockheed-Martin Corp.,"Kearse, Amalya Lyle",0,0,0,0,42,NA,1,1,0,0,0,employment,NA,2,2,1999
Techmanski v. Lockheed Martin Corp.,"Kearse, Amalya Lyle",0,0,0,0,42,NA,1,1,0,0,0,employment,NA,2,2,1999
Mulcahey v. Lockheed-Martin Corp.,"Kearse, Amalya Lyle",0,0,0,0,42,NA,1,1,0,0,0,employment,NA,2,2,1999
Bickerstaff v. Vassar College,"Kearse, Amalya Lyle",0,0,0,0,42,NA,1,1,0,0,1,employment,NA,2,2,1999
Smith v. Xerox Corp.,"Newman, Jon O.",1,1,0,0,47,0,0,0,0,3,1,employment,5,1,2,1999
Brennan v. Metropolitan Opera Ass'n,"Newman, Jon O.",1,1,0,0,47,0,0,0,0,3,1,employment,5,1,2,1999
Belfi v. Prendergast,"Cardamone, Richard J.",0,0,1,1,56,1,0,0,0,0,1,employment,4,1,2,1999
Ortiz-Del Valle v. NBA,"Calabresi, Guido",2,1,1,0,NA,1,0,0,0,3,1,employment,4,1,2,1999
"Cosgrove v. Sears, Roebuck, & Co.","Parker, Fred Irving",0,0,1,0,NA,NA,0,NA,NA,2,1,employment,NA,NA,2,1999
Pietras v. Board of Fire Comm'rs,"Van Graafeiland, Ellsworth A.",3,1,1,1,60,0,0,0,0,5,1,employment,8,1,2,1999
Bonner v. Guccione,"Jacobs, Dennis G.",0,0,1,1,48,0,0,0,0,0,1,employment,5,1,2,1999
"Leopold v. Baccarat, Inc.","Van Graafeiland, Ellsworth A.",3,1,1,1,60,0,0,0,0,5,1,employment,8,1,2,1999
Anderson v. State Univ. of New York,"Leval, Pierre Nelson",1,1,1,0,NA,1,0,0,0,1,1,employment,4,1,2,1999
EEOC v. Joint Apprenticeship Comm. of the Joint Indus. Bd. of the Elec.  Indus.,"Parker, Fred Irving",0,0,1,0,NA,NA,0,NA,NA,2,1,employment,NA,NA,2,1998
Hawkins v. 1115 Legal Serv. Care,"Kearse, Amalya Lyle",0,0,1,0,42,NA,1,1,0,0,1,employment,NA,2,2,1998
Downey v. Runyon,"Kearse, Amalya Lyle",0,0,1,0,42,NA,1,1,0,0,0,employment,NA,2,2,1998
Quinn v. Green Tree Credit Corp.,"Oakes, James L.",2,1,1,1,47,0,0,0,0,3,1,employment,1,1,2,1998
Austin v. Ford Models,"Oakes, James L.",2,1,0,1,47,0,0,0,0,3,1,employment,1,1,2,1998
Wilson v. Fairchild Republic Co.,"Newman, Jon O.",1,1,1,0,47,0,0,0,0,3,0,employment,5,1,2,1998
Gallagher v. Delaney,"Kearse, Amalya Lyle",0,0,1,0,42,NA,1,1,0,0,1,employment,NA,2,2,1998
Galdieri-Ambrosini v. National Realty & Dev. Corp.,"Kearse, Amalya Lyle",0,0,0,0,42,NA,1,1,0,0,1,employment,NA,2,2,1998
Annis v. County of Westchester,"Van Graafeiland, Ellsworth A.",3,1,1,1,60,0,0,0,0,5,1,employment,8,1,2,1998
Pollis v. New Sch. for Soc. Research,"Winter, Ralph K.",NA,NA,1,1,46,NA,0,0,0,NA,1,employment,NA,1,2,1997
Canfield v. Van Atta Buick/GMC Truck,"Meskill, Thomas J.",2,1,0,1,47,1,0,0,0,4,1,employment,4,1,2,1997
Renz v. Grey Adver.,"Meskill, Thomas J.",2,1,0,1,47,1,0,0,0,4,1,employment,4,1,2,1997
Ierardi v. Sisco,"Newman, Jon O.",1,1,1,0,47,0,0,0,0,3,1,employment,5,1,2,1997
Kracunas v. Iona College,"Oakes, James L.",2,1,1,1,47,0,0,0,0,3,1,employment,1,1,2,1997
Shumway v. UPS,"Walker, John M., Jr.",1,1,0,1,49,0,0,0,0,1,1,employment,2,1,2,1997
Fisher v. Vassar College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,employment,NA,NA,2,1997
Torres v. Pisano,"Newman, Jon O.",1,1,0,0,47,0,0,0,0,3,1,employment,5,1,2,1997
Luciano v. Olsten Corp.,"Oakes, James L.",2,1,0,1,47,0,0,0,0,3,1,employment,1,1,2,1997
Luciano v. Olsten Corp.,"Oakes, James L.",2,1,1,1,47,0,0,0,0,3,1,employment,1,1,2,1997
Dailey v. Societe Generale,"Feinberg, Wilfred",2,1,1,0,46,0,0,0,0,3,1,employment,5,1,2,1997
Tavora v. New York Mercantile Exch.,"Winter, Ralph K.",NA,NA,0,1,46,NA,0,0,0,NA,0,employment,NA,1,2,1996
AFSCME v. County of Nassau,"Winter, Ralph K.",NA,NA,1,1,46,NA,0,0,0,NA,1,employment,NA,1,2,1996
Reed v. A.W. Lawrence & Co.,"Miner, Roger J.",0,0,1,1,51,0,0,0,0,4,1,employment,5,1,2,1996
Burger v. New York Inst. of Tech.,"Winter, Ralph K.",NA,NA,1,1,46,NA,0,0,0,NA,1,employment,NA,1,2,1996
Holt v. KMI-Continental,"Kearse, Amalya Lyle",0,0,0,0,42,NA,1,1,0,0,1,employment,NA,2,2,1996
Kern v. City of Rochester,"Meskill, Thomas J.",2,1,0,1,47,1,0,0,0,4,1,employment,4,1,2,1996
Chertkova v. Connecticut Gen. Life Ins. Co.,"Feinberg, Wilfred",2,1,1,0,46,0,0,0,0,3,1,employment,5,1,2,1996
Yerdon v. Henry,"Oakes, James L.",2,1,0,1,47,0,0,0,0,3,1,employment,1,1,2,1996
Leibovitz v. New York City Transit Auth.,"McLaughlin, Joseph W.",1,1,0,1,57,1,0,0,0,4,1,equal protection,4,1,2,2001
Lake v. Reno,"Oakes, James L.",2,1,1,1,47,0,0,0,0,3,0,equal protection,1,1,2,2000
Hayden v. County of Nassau,"Oakes, James L.",2,1,0,1,47,0,0,0,0,3,1,equal protection,1,1,2,1999
Buzzetti v. City of New York,"Winter, Ralph K.",NA,NA,0,1,46,NA,0,0,0,NA,1,equal protection,NA,1,2,1998
Quaratino v. Tiffany & Co.,"Kearse, Amalya Lyle",0,0,1,0,42,NA,1,1,0,0,1,pregnancy,NA,2,2,1999
Kerzer v. Kingly Mfg.,"Winter, Ralph K.",NA,NA,1,1,46,NA,0,0,0,NA,1,pregnancy,NA,1,2,1998
Lanning v. SEPTA,"Roth, Jane R.",1,1,0,1,56,0,1,0,0,2,1,employment,2,1,3,2002
"Coleman v. Home Depot, Inc.","Becker, Edward R.",1,1,0,1,49,0,0,0,0,3,1,employment,5,1,3,2002
Rossi v. New Jersey,"Scirica, Anthony J.",0,0,0,1,47,1,0,0,0,0,1,employment,4,1,3,2002
Blair v. Scott Specialty Gases,"Sloviter, Dolores K.",1,1,1,0,47,0,1,0,0,1,1,employment,5,1,3,2002
Quinn v. Consol. Freightways Corp.,"Sloviter, Dolores K.",1,1,1,0,47,0,1,0,0,1,1,employment,5,1,3,2002
Bibby v. Phila. Coca Cola Bottling Co.,"Roth, Jane R.",1,1,0,1,56,0,1,0,0,2,0,employment,2,1,3,2001
Weston v. Pennsylvania,"Becker, Edward R.",1,1,1,1,49,0,0,0,0,3,0,employment,5,1,3,2001
Holland v. N.J. Dep't of Corr.,"Becker, Edward R.",1,1,0,1,49,0,0,0,0,3,1,employment,5,1,3,2001
"Goosby v. Johnson & Johnson Med., Inc.","Alito, Samuel A., Jr.",1,1,1,1,40,1,0,0,0,2,1,employment,4,1,3,2000
Chittister v. Department of Community & Economic Dev.,"Alito, Samuel A., Jr.",1,1,0,1,40,1,0,0,0,2,0,employment,4,1,3,2000
Watson v. SEPTA,"Greenberg, Morton I.",2,1,1,1,54,0,0,0,0,3,1,employment,5,1,3,2000
Farrell v. Planters Lifesavers Co.,"Greenberg, Morton I.",2,1,1,1,54,0,0,0,0,3,1,employment,5,1,3,2000
Anjelino v. New York Times Co.,"Scirica, Anthony J.",0,0,1,1,47,1,0,0,0,0,0,employment,4,1,3,1999
Iadimarco v. Runyon,"Becker, Edward R.",1,1,1,1,49,0,0,0,0,3,0,employment,5,1,3,1999
Pivirotto v. Innovative Sys.,"Becker, Edward R.",1,1,0,1,49,0,0,0,0,3,1,employment,5,1,3,1999
Kunin v. Sears Roebuck & Co.,"Greenberg, Morton I.",2,1,0,1,54,0,0,0,0,3,1,employment,5,1,3,1999
Hurley v. Atlantic City Police Dep't,"Becker, Edward R.",1,1,1,1,49,0,0,0,0,3,1,employment,5,1,3,1999
Holley v. Department of Veteran Affairs,"Sloviter, Dolores K.",1,1,1,0,47,0,1,0,0,1,1,employment,5,1,3,1999
Seitzinger v. Reading Hosp. & Med. Ctr.,"Becker, Edward R.",1,1,1,1,49,0,0,0,0,3,1,employment,5,1,3,1999
Durham Life Ins. Co. v. Evans,"Becker, Edward R.",1,1,1,1,49,0,0,0,0,3,1,employment,5,1,3,1999
Fair Hous. Council v. Montgomery Newspapers,"Mansmann, Carol Los",1,1,1,1,43,1,1,0,0,4,1,housing,4,1,3,1998
Bonenberger v. Plymouth Twp.,"Cowen, Robert E.",2,1,1,1,57,0,0,0,0,2,1,employment,5,1,3,1997
Williams v. Runyon,"Becker, Edward R.",1,1,1,1,49,0,0,0,0,3,1,employment,5,1,3,1997
Rhett v. Carnegie Ctr. Assocs.(In re Carnegie Ctr. Assocs.),"Greenberg, Morton I.",2,1,0,1,54,0,0,0,0,3,1,pregnancy,5,1,3,1997
Walden v. Georgia-Pacific Corp.,"Becker, Edward R.",1,1,0,1,49,0,0,0,0,3,3,employment,5,1,3,1997
EEOC v. L.B. Foster Co.,"Mansmann, Carol Los",1,1,1,1,43,1,1,0,0,4,1,employment,4,1,3,1997
Robinson v. City of Pittsburgh,"Greenberg, Morton I.",2,1,1,1,54,0,0,0,0,3,1,employment,5,1,3,1997
Knabe v. Boury Corp.,"Becker, Edward R.",1,1,0,1,49,0,0,0,0,3,1,employment,5,1,3,1997
Rush v. Scott Specialty Gases,"Greenberg, Morton I.",2,1,0,1,54,0,0,0,0,3,1,employment,5,1,3,1997
Azzaro v. County of Allegheny,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,employment,NA,NA,3,1997
Great Western Mortg. Corp. v. Peacock,"Stapleton, Walter K.",1,1,0,1,51,0,0,0,0,3,1,employment,3,1,3,1997
Kachmar v. Sungard Data Sys.,"Sloviter, Dolores K.",1,1,1,0,47,0,1,0,0,1,1,employment,5,1,3,1997
Hertz Corp. v. NLRB,"Scirica, Anthony J.",0,0,0,1,47,1,0,0,0,0,1,employment,4,1,3,1997
Mints v. Educational Testing Serv.,"Mansmann, Carol Los",1,1,0,1,43,1,1,0,0,4,1,employment,4,1,3,1996
Sheridan v. E.I. Dupont de Nemours & Co.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,employment,NA,NA,3,1996
Gares v. Willingboro Twp.,"Stapleton, Walter K.",1,1,1,1,51,0,0,0,0,3,1,employment,3,1,3,1996
Bradley v. United States,"Scirica, Anthony J.",0,0,0,1,47,1,0,0,0,0,1,equal protection,4,1,3,2002
Rossi v. New Jersey,"Scirica, Anthony J.",0,0,0,1,47,1,0,0,0,0,1,employment,4,1,3,2002
Blair v. Scott Specialty Gases,"Sloviter, Dolores K.",1,1,1,0,47,0,1,0,0,1,1,employment,5,1,3,2002
Gattis v. Snyder,"Becker, Edward R.",1,1,0,1,49,0,0,0,0,3,0,equal protection,5,1,3,2002
Lake v. Arnold,"Mansmann, Carol Los",1,1,1,1,43,1,1,0,0,4,1,equal protection,4,1,3,1997
Gruenke v. Seip,"Roth, Jane R.",1,1,1,1,56,0,1,0,0,2,1,reproductive rights,2,1,3,2000
Alexander v. Whitman,"Greenberg, Morton I.",2,1,0,1,54,0,0,0,0,3,1,reproductive rights,5,1,3,1997
Rhett v. Carnegie Ctr. Assocs.(In re Carnegie Ctr. Assocs.),"Greenberg, Morton I.",2,1,0,1,54,0,0,0,0,3,1,pregnancy,5,1,3,1997
