"","eval","beauty","female","age","minority","nonenglish","lower","course_id"
"55",3.1,6.66666666666667,0,34,0,0,0,0
"56",3.7,3.66666666666667,0,32,0,0,1,0
"57",3.9,6.16666666666667,1,42,0,0,1,0
"58",4,3.33333333333333,1,43,0,0,1,0
"59",3.3,3.66666666666667,0,35,0,1,0,25
"60",3.1,3.5,1,62,0,0,0,0
"61",4,2.66666666666667,0,42,0,0,0,0
"62",4.3,5.66666666666667,0,39,0,0,0,0
"63",3.7,6,1,52,0,0,0,0
"64",3.4,6.5,1,52,0,0,0,0
"65",4.3,2.33333333333333,1,52,0,0,0,0
"66",3.7,2.33333333333333,0,64,0,0,0,0
"67",4.2,7.16666666666667,0,50,0,0,0,0
"68",2.2,1.66666666666667,0,60,0,0,0,0
"69",3,5.16666666666667,1,51,0,0,0,0
"70",4.3,3.5,0,43,0,0,1,0
"71",4.6,3.33333333333333,0,50,1,0,1,0
"72",3.5,5.83333333333333,0,52,0,0,0,0
"73",4.6,6.16666666666667,0,51,0,0,1,0
"74",3.7,3.33333333333333,0,38,0,0,1,0
"75",3.8,5.16666666666667,1,47,0,0,1,24
"76",3.6,4.16666666666667,1,43,1,0,1,0
"77",4.4,2.5,1,38,0,0,1,0
"78",4.1,4.33333333333333,0,43,0,0,1,0
"79",4.3,3,0,57,0,0,0,0
"80",4,6.33333333333333,1,51,0,0,0,0
"81",4.8,3.33333333333333,0,45,0,0,1,20
"82",3.5,2.83333333333333,0,57,0,0,1,0
"83",3.6,6.66666666666667,1,47,0,0,1,0
"84",3.8,6.83333333333333,1,54,1,0,1,30
"85",4.7,7.83333333333333,0,58,0,0,1,28
"86",4.9,7.83333333333333,0,42,0,0,1,0
"87",4.3,5.83333333333333,0,33,0,0,1,0
"88",3.3,2,0,62,0,0,1,0
"89",3.4,7.83333333333333,1,35,1,0,1,0
"90",3.6,3.33333333333333,0,61,0,0,1,0
"91",4,4.5,1,52,0,0,1,0
"92",3.9,4.33333333333333,1,60,0,1,0,0
"93",4.3,6.83333333333333,0,32,0,0,1,0
"94",3.3,5.33333333333333,1,42,1,1,0,0
"95",3.7,5,1,36,1,0,0,3
"96",3.6,5,1,36,1,0,0,3
"97",4.4,5,1,36,1,0,0,3
"98",4,3,0,59,0,0,0,0
"99",2.1,3,0,59,0,0,0,0
"100",3.2,3.33333333333333,0,51,0,0,0,4
"101",3.5,3.16666666666667,1,40,0,0,0,4
"102",4.1,3.16666666666667,1,40,0,0,0,0
"103",4.6,3.16666666666667,1,40,0,0,0,5
"104",3.8,3.16666666666667,1,40,0,0,0,27
"105",3.8,3.16666666666667,1,40,0,0,0,26
"106",3.8,3.16666666666667,1,40,0,0,0,0
"107",4.2,3.16666666666667,1,40,0,0,0,0
"108",3.9,7.33333333333333,1,31,0,0,0,0
"109",4.5,7.33333333333333,1,31,0,0,0,0
"110",4.5,7.33333333333333,1,31,0,0,0,0
"111",4.4,7.33333333333333,1,31,0,0,0,0
"112",4.4,7.33333333333333,1,31,0,0,0,26
"113",4.4,5.5,0,62,0,0,0,0
"114",4.5,5.5,0,62,0,0,0,0
"115",4.3,5.5,0,62,0,0,0,4
"116",4.6,5.5,0,62,0,0,0,0
"117",4.8,5.5,0,62,0,0,0,0
"118",4.3,5.5,0,62,0,0,0,4
"119",4,4.16666666666667,1,33,0,0,0,4
"120",4,4.16666666666667,1,33,0,0,0,3
"121",3.9,4.16666666666667,1,33,0,0,0,4
"122",3.3,4.16666666666667,1,33,0,0,0,4
"123",4.5,4,1,51,0,0,0,0
"124",4.5,4,1,51,0,0,0,0
"125",4.5,4,1,51,0,0,0,0
"126",2.5,4,1,51,0,0,1,0
"127",4.3,4,1,51,0,0,0,0
"128",4.5,4,1,51,0,0,0,0
"129",4.7,4.66666666666667,1,33,0,0,0,26
"130",3.5,4.66666666666667,1,33,0,0,0,0
"131",4.5,4.66666666666667,1,33,0,0,0,2
"132",3.8,4.66666666666667,1,33,0,0,0,4
"133",4.5,4.66666666666667,1,33,0,0,0,0
"134",4.3,4.66666666666667,1,33,0,0,0,0
"135",3.9,5.5,0,47,0,0,0,0
"136",4.3,5.5,0,47,0,0,0,4
"137",4.2,5.5,0,47,0,0,0,4
"138",5,5.5,0,47,0,0,1,0
"139",5,5.5,0,47,0,0,1,0
"140",4.6,5.5,0,47,0,0,0,0
"141",5,5.5,0,47,0,0,1,0
"142",4.7,5.5,0,47,0,0,0,4
"143",5,5.5,0,47,0,0,1,0
"144",2.7,4.83333333333333,0,35,1,1,0,4
"145",4,4.83333333333333,0,35,1,1,0,4
"146",4.4,4.33333333333333,0,37,0,0,0,27
"147",4.4,4.33333333333333,0,37,0,0,0,0
"148",4.3,4.33333333333333,0,37,0,0,0,0
"149",3.5,4.33333333333333,0,37,0,0,0,0
"150",3.8,4.83333333333333,0,42,0,0,0,0
"151",3.9,4.83333333333333,0,42,0,0,0,0
"152",3.7,4.83333333333333,0,42,0,0,0,3
"153",3.3,4.83333333333333,0,42,0,0,0,3
"154",4,4.83333333333333,0,42,0,0,0,3
"155",3.8,4.83333333333333,0,42,0,0,0,0
"156",4.2,4,0,49,0,1,0,4
"157",3.1,4,0,49,0,1,0,0
"158",3.6,4,0,49,0,1,0,4
"159",3.3,5.5,1,37,0,0,0,0
"160",2.9,5.5,1,37,0,0,0,9
"161",3.1,5.5,1,37,0,0,0,9
"162",4,4.16666666666667,0,45,0,0,1,6
"163",4,4.16666666666667,0,45,0,0,1,6
"164",4.2,4.16666666666667,0,45,0,0,0,9
"165",3.8,4.16666666666667,0,45,0,0,0,9
"166",4.3,4.16666666666667,0,45,0,0,1,6
"167",4.6,2.5,1,56,0,0,0,10
"168",4.3,2.5,1,56,0,0,0,0
"169",3.6,2.5,1,56,0,0,0,0
"170",4.2,2.5,1,56,0,0,0,10
"171",3.9,4.33333333333333,0,48,0,0,0,0
"172",4.1,4.33333333333333,0,48,0,0,0,0
"173",4,4.33333333333333,0,48,0,0,1,0
"174",4.3,4.33333333333333,0,48,0,0,1,0
"175",3.9,4.33333333333333,0,48,0,0,0,0
"176",4.2,4.33333333333333,0,48,0,0,1,0
"177",4.2,4.33333333333333,0,48,0,0,1,0
"178",4.9,4.33333333333333,1,46,0,0,1,0
"179",4,4.33333333333333,1,46,0,0,0,0
"180",4.3,4.33333333333333,1,46,0,0,0,0
"181",4.9,4.33333333333333,1,46,0,0,0,0
"182",3.9,4.33333333333333,1,46,0,0,0,0
"183",4.9,4.33333333333333,1,46,0,0,1,0
"184",3.9,4.33333333333333,1,46,0,0,0,0
"185",4,4.33333333333333,1,46,0,0,1,0
"186",3.5,4.33333333333333,1,57,0,0,0,0
"187",3.9,4.33333333333333,1,57,0,0,0,0
"188",4,4.33333333333333,1,57,0,0,0,0
"189",3.6,4.33333333333333,1,57,0,0,0,0
"190",3,4.33333333333333,1,57,0,0,0,0
"191",3,4.33333333333333,1,57,0,0,0,0
"192",3.6,4.33333333333333,1,57,0,0,0,0
"193",3.6,4.33333333333333,1,57,0,0,0,0
"194",3.2,4.33333333333333,1,57,0,0,0,0
"195",3.9,4.83333333333333,1,52,0,0,0,0
"196",3.5,4.83333333333333,1,52,0,0,0,0
"197",3.5,4.83333333333333,1,52,0,0,0,0
"198",3.1,4.83333333333333,1,52,0,0,0,0
"199",4.2,4.83333333333333,1,52,0,0,0,9
"200",3.6,3,0,62,0,0,1,6
"201",4.5,3,0,62,0,0,0,10
"202",3.7,3,0,62,0,0,1,6
"203",3.4,3,0,62,0,0,1,6
"204",4.5,4.16666666666667,0,64,0,0,0,0
"205",4.6,4.16666666666667,0,64,0,0,0,0
"206",4.8,4.16666666666667,0,64,0,0,0,0
"207",4.5,4.16666666666667,0,64,0,0,0,0
"208",4.4,4.16666666666667,0,64,0,0,0,0
"209",4.1,4.16666666666667,0,64,0,0,0,0
"210",3.9,7.83333333333333,1,34,0,0,0,0
"211",4.3,3.83333333333333,0,58,0,0,0,8
"212",3.5,3.83333333333333,0,58,0,0,1,24
"213",4,3.83333333333333,0,58,0,0,0,25
"214",4,3.83333333333333,0,58,0,0,1,24
"215",4.6,4.83333333333333,0,52,1,1,0,18
"216",4.6,4.83333333333333,0,52,1,1,0,17
"217",3.7,4.83333333333333,0,52,1,1,0,14
"218",3.5,4.83333333333333,0,52,1,1,0,14
"219",3.6,4.83333333333333,0,52,1,1,0,18
"220",3.9,4.83333333333333,0,52,1,1,0,0
"221",4.2,3,0,73,0,0,0,13
"222",3.2,3,0,73,0,0,0,0
"223",4.9,3,0,73,0,0,0,17
"224",4,3,0,70,0,0,0,19
"225",3.5,3,0,70,0,0,0,19
"226",3.4,3,0,70,0,0,0,19
"227",4.2,4.33333333333333,0,63,0,0,0,0
"228",3.5,4.33333333333333,0,63,0,0,0,5
"229",4.4,4.33333333333333,0,63,0,0,0,0
"230",3.7,4.33333333333333,0,63,0,0,0,0
"231",3.4,4.33333333333333,0,63,0,0,0,0
"232",3,4.33333333333333,0,63,0,0,0,0
"233",3.9,2.66666666666667,0,47,0,0,0,0
"234",2.8,2.66666666666667,0,47,0,0,0,15
"235",3.7,5.5,0,39,0,0,1,0
"236",4.6,5.5,0,39,0,0,0,0
"237",4.2,5.5,0,39,0,0,0,0
"238",4.4,5.5,0,39,0,0,0,5
"239",3.8,4.33333333333333,1,47,1,0,0,0
"240",4.1,4.33333333333333,1,47,1,0,1,20
"241",3.7,4.33333333333333,1,47,1,0,1,21
"242",4.1,4.33333333333333,1,47,1,0,0,0
"243",3,4.33333333333333,1,47,1,0,1,21
"244",3.2,4.33333333333333,1,47,1,0,1,21
"245",2.8,4.33333333333333,1,47,1,0,1,21
"246",4.7,4.33333333333333,1,47,1,0,1,20
"247",4.2,4.33333333333333,1,47,1,0,1,21
"248",3.2,4.33333333333333,1,47,1,0,1,21
"249",3.1,4.33333333333333,1,47,1,0,1,21
"250",4,4.33333333333333,1,47,1,0,1,21
"251",4.2,2.33333333333333,0,54,0,0,0,18
"252",4.3,2.33333333333333,0,54,0,0,0,16
"253",3.3,6.5,1,44,1,0,0,19
"254",4.1,6.5,1,44,1,0,0,0
"255",3.7,6.5,1,44,1,0,0,0
"256",3.3,2.33333333333333,0,47,1,0,0,17
"257",3.8,2.33333333333333,0,47,1,0,0,16
"258",3.4,2.33333333333333,0,47,1,0,0,0
"259",4.2,2.33333333333333,0,47,1,0,0,0
"260",3.8,2.33333333333333,0,47,1,0,0,0
"261",3.5,2.33333333333333,0,47,1,0,0,5
"262",3.3,2.33333333333333,0,47,1,0,0,0
"263",4.3,3,0,62,0,0,0,17
"264",4.1,3,0,62,0,0,0,0
"265",4.5,3.66666666666667,0,60,0,0,0,17
"266",4.5,3.66666666666667,0,60,0,0,0,17
"267",4.6,3.66666666666667,0,60,0,0,0,18
"268",4.4,3.66666666666667,0,60,0,0,0,12
"269",4.1,3.66666666666667,0,60,0,0,0,12
"270",4.5,3.66666666666667,0,60,0,0,0,0
"271",4.3,3.66666666666667,0,60,0,0,1,0
"272",4.4,4,0,42,0,0,0,0
"273",4.9,4,0,42,0,0,0,0
"274",4.7,4,0,42,0,0,0,0
"275",4.6,4,0,42,0,0,0,0
"276",4.8,4.83333333333333,0,35,0,0,1,0
"277",4.2,4.83333333333333,0,35,0,0,0,22
"278",4.6,4.83333333333333,0,35,0,0,1,0
"279",4.7,8.16666666666667,1,39,0,0,0,0
"280",4.6,8.16666666666667,1,39,0,0,0,0
"281",3.6,8.16666666666667,1,39,0,0,1,21
"282",3.9,6.5,0,49,0,0,0,22
"283",4,6.5,0,49,0,0,0,22
"284",4.4,4.83333333333333,0,61,0,0,0,0
"285",4.5,4.83333333333333,0,61,0,0,1,21
"286",4.4,4.83333333333333,0,61,0,0,0,0
"287",3,7,0,33,0,0,0,22
"288",3.7,7,0,33,0,0,0,22
"289",3.6,3.83333333333333,1,56,0,0,0,22
"290",3.1,3.83333333333333,1,56,0,0,0,22
"291",3.8,3.16666666666667,1,50,0,0,1,20
"292",4.7,3.16666666666667,1,50,0,0,1,20
"293",3.8,3.16666666666667,1,50,0,0,0,0
"294",3.8,3.16666666666667,1,50,0,0,0,0
"295",2.8,3.16666666666667,1,50,0,0,0,0
"296",4,3.16666666666667,1,50,0,0,0,0
"297",4,3.16666666666667,0,52,0,0,0,0
"298",3.5,3.16666666666667,0,52,0,0,0,0
"299",3.4,3.16666666666667,0,52,0,0,0,0
"300",4,3.16666666666667,0,52,0,0,0,0
"301",3.5,3.16666666666667,0,52,0,0,0,0
"302",3.8,3.16666666666667,0,52,0,0,0,0
"303",4.7,3.16666666666667,0,52,0,0,0,23
"304",3.9,3.16666666666667,0,52,0,0,0,0
"305",4.5,3.16666666666667,0,52,0,0,0,23
"306",4.2,3.16666666666667,0,52,0,0,0,23
"307",4.7,3.16666666666667,0,52,0,0,0,23
"308",4,3.16666666666667,0,52,0,0,0,0
"309",4.8,5.83333333333333,1,33,0,0,0,0
"310",4.8,5.83333333333333,1,33,0,0,0,0
"311",4.4,5.83333333333333,1,33,0,0,0,0
"312",4.7,5.83333333333333,1,33,0,0,0,0
"313",4.5,5.83333333333333,1,33,0,0,0,0
"314",4.2,5.66666666666667,0,57,0,0,0,1
"315",4.4,5.66666666666667,0,57,0,0,0,0
"316",4.1,5.66666666666667,0,57,0,0,0,0
"317",4.2,6.5,1,38,0,0,1,0
"318",4.8,6.5,1,38,0,0,0,1
"319",4.4,6.5,1,38,0,0,0,1
"320",4.7,6.5,1,38,0,0,0,1
"321",4.2,6.5,1,38,0,0,1,0
"322",4.5,6.5,1,38,0,0,0,0
"323",3.4,1.66666666666667,1,34,0,0,1,0
"324",3.7,1.66666666666667,1,34,0,0,1,0
"325",3.6,1.66666666666667,1,34,0,0,0,0
"326",3.9,1.66666666666667,1,34,0,0,0,0
"327",3.9,1.66666666666667,1,34,0,0,0,0
"328",3.7,6.66666666666667,0,34,0,0,0,11
"329",3,6.66666666666667,0,34,0,0,1,0
"330",3.6,3.66666666666667,0,32,0,0,1,0
"331",3.6,3.66666666666667,0,32,0,0,1,0
"332",4.3,3.83333333333333,0,32,0,0,0,11
"333",4.5,3.83333333333333,0,32,0,0,0,0
"334",3.9,6.16666666666667,1,42,0,0,0,0
"335",4.6,3.33333333333333,1,43,0,0,0,0
"336",4.1,3.33333333333333,1,43,0,0,1,0
"337",4.2,3.33333333333333,1,43,0,0,1,0
"338",4.1,3.33333333333333,1,43,0,0,1,0
"339",3.1,3.33333333333333,1,43,0,0,1,0
"340",3.6,3.33333333333333,1,43,0,0,1,0
"341",4.2,3.33333333333333,1,43,0,0,0,0
"342",3,3.33333333333333,1,43,0,0,1,0
"343",4.2,3.33333333333333,1,43,0,0,0,0
"344",3.4,3.66666666666667,0,35,0,1,1,0
"345",3.1,3.5,1,62,0,0,0,0
"346",2.7,3.5,1,62,0,0,0,0
"347",3.9,6,1,52,0,0,0,0
"348",3.9,6.5,1,52,0,0,0,0
"349",3.6,6.5,1,52,0,0,0,0
"350",3.7,2.33333333333333,1,52,0,0,0,0
"351",3.6,2.33333333333333,1,52,0,0,0,0
"352",4.4,2.33333333333333,1,52,0,0,0,0
"353",4.3,2.33333333333333,1,52,0,0,0,0
"354",4.1,2.33333333333333,1,52,0,0,0,0
"355",3.7,2.33333333333333,1,52,0,0,0,0
"356",3.6,2.33333333333333,0,64,0,0,0,0
"357",2.8,2.33333333333333,0,64,0,0,0,0
"358",4,2.33333333333333,0,64,0,0,0,0
"359",4.4,2.33333333333333,0,64,0,0,0,0
"360",3.6,2.33333333333333,0,64,0,0,0,0
"361",3.7,7.16666666666667,0,50,0,0,0,0
"362",2.9,1.66666666666667,0,60,0,0,0,0
"363",2.6,1.66666666666667,0,60,0,0,0,0
"364",4.8,3.5,0,43,0,0,1,0
"365",4.9,3.5,0,43,0,0,1,0
"366",4.3,3.5,0,43,0,0,1,0
"367",4.4,3.5,0,43,0,0,1,0
"368",4.3,3.5,0,43,0,0,1,0
"369",4.7,3.5,0,43,0,0,1,0
"370",4.3,3.5,0,43,0,0,1,0
"371",4.6,3.5,0,43,0,0,1,0
"372",4.9,3.33333333333333,0,50,1,0,1,0
"373",4.8,3.33333333333333,0,50,1,0,1,0
"374",4.7,3.33333333333333,0,50,1,0,1,0
"375",4.8,3.33333333333333,0,50,1,0,1,0
"376",4.9,3.33333333333333,0,50,1,0,1,0
"377",4.8,3.33333333333333,0,50,1,0,1,0
"378",4.8,3.33333333333333,0,50,1,0,1,0
"379",5,3.33333333333333,0,50,1,0,1,0
"380",4.5,3.33333333333333,0,50,1,0,1,0
"381",3.8,5.83333333333333,0,52,0,0,0,0
"382",3.8,5.83333333333333,0,52,0,0,0,0
"383",3.8,5.83333333333333,0,52,0,0,0,0
"384",4,5.83333333333333,0,52,0,0,0,0
"385",4.2,5.83333333333333,0,52,0,0,0,0
"386",4.5,6.16666666666667,0,51,0,0,1,0
"387",4.5,6.16666666666667,0,51,0,0,1,0
"388",4.6,6.16666666666667,0,51,0,0,1,0
"389",4.7,6.16666666666667,0,51,0,0,1,0
"390",4.1,3.33333333333333,0,38,0,0,1,0
"391",3.6,3.33333333333333,0,38,0,0,1,0
"392",4,3.33333333333333,0,38,0,0,1,0
"393",3.4,5.16666666666667,1,47,0,0,1,7
"394",2.8,4.16666666666667,1,43,1,0,1,0
"395",4.1,2.5,1,38,0,0,1,7
"396",3.5,2.5,1,38,0,0,1,7
"397",3.4,2.5,1,38,0,0,1,7
"398",4.1,2.5,1,38,0,0,1,0
"399",4.2,2.5,1,38,0,0,1,0
"400",4.3,4.33333333333333,0,43,0,0,1,0
"401",4.1,4.33333333333333,0,43,0,0,0,13
"402",3.4,4.33333333333333,0,43,0,0,0,19
"403",3.5,3,0,57,0,0,0,0
"404",3.6,3,0,57,0,0,0,0
"405",3.7,6.33333333333333,1,51,0,0,0,0
"406",3,6.33333333333333,1,51,0,0,0,0
"407",4.6,6.33333333333333,1,51,0,0,0,0
"408",4,3.33333333333333,0,45,0,0,1,0
"409",4.8,3.33333333333333,0,45,0,0,1,0
"410",4.6,3.33333333333333,0,45,0,0,1,0
"411",3.4,2.83333333333333,0,57,0,0,1,29
"412",4.4,2.83333333333333,0,57,0,0,1,30
"413",3.6,2.83333333333333,0,57,0,0,1,0
"414",3.8,2.83333333333333,0,57,0,0,1,0
"415",3.7,2.83333333333333,0,57,0,0,1,0
"416",4.7,2.83333333333333,0,57,0,0,1,0
"417",4.5,2.83333333333333,0,57,0,0,1,0
"418",5,2.83333333333333,0,57,0,0,0,0
"419",3.8,2.83333333333333,0,57,0,0,1,0
"420",4.1,2.83333333333333,0,57,0,0,1,0
"421",4.3,6.66666666666667,1,47,0,0,1,0
"422",4.4,6.66666666666667,1,47,0,0,1,0
"423",4.7,6.66666666666667,1,47,0,0,1,0
"424",3.9,6.66666666666667,1,47,0,0,1,0
"425",4.8,6.83333333333333,1,54,1,0,1,30
"426",4.3,6.83333333333333,1,54,1,0,1,28
"427",4.6,6.83333333333333,1,54,1,0,1,28
"428",3.8,6.83333333333333,1,54,1,0,1,30
"429",5,7.83333333333333,0,58,0,0,1,28
"430",4.9,7.83333333333333,0,58,0,0,1,30
"431",4.6,7.83333333333333,0,58,0,0,1,29
"432",4.6,7.83333333333333,0,58,0,0,1,30
"433",5,7.83333333333333,0,58,0,0,1,30
"434",4.6,7.83333333333333,0,58,0,0,1,30
"435",4.9,7.83333333333333,0,58,0,0,1,0
"436",4,7.83333333333333,0,42,0,0,1,0
"437",3.9,7.83333333333333,0,42,0,0,0,0
"438",4.1,5.83333333333333,0,33,0,0,1,0
"439",2.9,2,0,62,0,0,1,0
"440",2.8,2,0,62,0,0,1,0
"441",2.8,2,0,62,0,0,1,0
"442",4,2,0,62,0,0,0,0
"443",3.3,2,0,62,0,0,1,0
"444",3,2,0,62,0,0,1,0
"445",3.6,7.83333333333333,1,35,1,0,1,0
"446",3.8,7.83333333333333,1,35,1,0,1,0
"447",3.9,3.33333333333333,0,61,0,0,1,0
"448",4.7,4.5,1,52,0,0,1,0
"449",4.7,4.5,1,52,0,0,1,0
"450",3.9,4.33333333333333,1,60,0,1,0,0
"451",4.4,4.33333333333333,1,60,0,1,0,0
"452",3.6,4.33333333333333,1,60,0,1,0,0
"453",4.2,4.33333333333333,1,60,0,1,0,0
"454",3.4,4.33333333333333,1,60,0,1,0,0
"455",4,4.33333333333333,1,60,0,1,0,0
"456",4.2,6.83333333333333,0,32,0,0,1,0
"457",4.4,6.83333333333333,0,32,0,0,0,0
"458",4.5,6.83333333333333,0,32,0,0,1,0
"459",3.2,6.83333333333333,0,32,0,0,1,0
"460",4.3,6.83333333333333,0,32,0,0,0,0
"461",3.3,5.33333333333333,1,42,1,1,0,0
"462",3.2,5.33333333333333,1,42,1,1,0,0
"463",4.1,5.33333333333333,1,42,1,1,1,0
