state,year,first_name,last_name,party,sex,died,status,win_margin,region,population,election_age,death_age,lived_after
Alabama,1982,Emory,Folmar,Republican,Male,2011-11-11,Challenger,-19.216788701730785,South,3925263,52.42436687200548,81.44010951403149,29.01574264202601
Alabama,1982,George,Wallace,Democrat,Male,1998-09-13,Challenger,19.216788701730785,South,3925263,63.19780971937029,79.05270362765229,15.854893908282
Alabama,1986,Guy,Hunt,Republican,Male,2009-01-30,Challenger,12.894793597358778,South,3991569,53.385352498288846,75.62217659137578,22.236824093086927
Alabama,1990,Paul,Hubbert,Democrat,Male,2014-10-14,Challenger,-4.2293470437018,South,4050055,54.86379192334018,78.80355920602327,23.939767282683093
Alabama,1990,Guy,Hunt,Republican,Male,2009-01-30,Incumbent,4.2293470437018,South,4050055,57.385352498288846,75.62217659137578,18.236824093086927
Alabama,2006,Lucy,Baxley,Democrat,Female,2016-10-14,Challenger,-16.0319314075632,South,4628981,68.87337440109513,78.8145106091718,9.94113620807666
Alaska,1958,John,Butrovich,Republican,Male,1997-06-03,Challenger,-20.396799208051483,West,224000,48.62422997946612,87.20054757015743,38.57631759069131
Alaska,1958,William,Egan,Democrat,Male,1984-05-06,Challenger,20.396799208051483,West,224000,44.0766598220397,69.57700205338809,25.50034223134839
Alaska,1962,William,Egan,Democrat,Male,1984-05-06,Incumbent,4.539440023993933,West,246000,48.0766598220397,69.57700205338809,21.50034223134839
Alaska,1962,Mike,Stepovich,Republican,Male,2014-02-14,Challenger,-4.539440023993933,West,246000,43.65229295003422,94.92950034223135,51.27720739219713
Alaska,1966,William,Egan,Democrat,Male,1984-05-06,Incumbent,-1.6561877012728061,West,271000,52.0766598220397,69.57700205338809,17.50034223134839
Alaska,1966,Walter,Hickel,Republican,Male,2010-05-07,Challenger,1.6561877012728061,West,271000,47.21697467488022,90.71868583162218,43.501711156741955
Alaska,1970,William,Egan,Democrat,Male,1984-05-06,Challenger,6.340090231611221,West,304328,56.0766598220397,69.57700205338809,13.500342231348391
Alaska,1970,Keith,Miller,Republican,Male,2019-03-02,Challenger,-6.340090231611221,West,304328,45.68104038329911,94.00136892539356,48.32032854209446
Alaska,1974,William,Egan,Democrat,Male,1984-05-06,Incumbent,-0.3140284266847573,West,344696,60.0766598220397,69.57700205338809,9.500342231348391
Alaska,1974,Jay,Hammond,Republican,Male,2005-08-02,Challenger,0.3140284266847573,West,344696,52.29295003422313,83.03353867214237,30.740588637919235
Alaska,1978,Jay,Hammond,Republican,Male,2005-08-02,Incumbent,31.798607049816574,West,402191,56.29295003422313,83.03353867214237,26.740588637919235
Alaska,1990,Walter,Hickel,Third party,Male,2010-05-07,Challenger,11.418313444475501,West,553290,71.21697467488022,90.71868583162218,19.50171115674196
Alaska,1994,James,Campbell,Republican,Male,2006-01-02,Challenger,-0.3065484701172352,West,603308,62.38193018480493,73.54140999315537,11.159479808350445
Arizona,1946,Bruce,Brockett,Republican,Male,1971-02-04,Challenger,-20.192386209599704,West,618000,49.02669404517454,73.27583846680356,24.249144421629023
Arizona,1946,Sidney,Osborn,Democrat,Male,1948-05-25,Incumbent,20.192386209599704,West,618000,62.46680355920602,64.01916495550992,1.5523613963039014
Arizona,1948,Bruce,Brockett,Republican,Male,1971-02-04,Challenger,-19.256766440975305,West,690000,51.0280629705681,73.27583846680356,22.247775496235455
Arizona,1948,Dan,Garvey,Democrat,Male,1974-02-05,Challenger,19.256766440975305,West,690000,62.379192334017795,87.63039014373716,25.251197809719372
Arizona,1950,Ana,Frohmiller,Democrat,Female,1971-11-25,Challenger,-1.532062675756947,West,756000,59.34565366187543,80.39972621492129,21.05407255304586
Arizona,1950,Howard,Pyle,Republican,Male,1987-11-29,Challenger,1.532062675756947,West,756000,44.616016427104725,81.6810403832991,37.06502395619439
Arizona,1952,Howard,Pyle,Republican,Male,1987-11-29,Incumbent,20.323491557331387,West,842000,46.61738535249829,81.6810403832991,35.063655030800824
Arizona,1954,Ernest,Mcfarland,Democrat,Male,1984-06-08,Challenger,5.016190515227279,West,933000,60.07118412046543,89.66187542778918,29.590691307323752
Arizona,1954,Howard,Pyle,Republican,Male,1987-11-29,Incumbent,-5.016190515227279,West,933000,48.616016427104725,81.6810403832991,33.06502395619439
Arizona,1956,Horace,Griffen,Republican,Male,1972-07-01,Challenger,-19.094084382103446,West,1053000,61.85352498288843,77.50581793292265,15.652292950034223
Arizona,1956,Ernest,Mcfarland,Democrat,Male,1984-06-08,Incumbent,19.094084382103446,West,1053000,62.072553045859,89.66187542778918,27.589322381930184
Arizona,1958,Paul,Fannin,Republican,Male,2002-01-13,Challenger,10.26182156197821,West,1193000,51.76728268309377,94.95687885010267,43.1895961670089
Arizona,1958,Robert,Morrison,Democrat,Male,1999-07-08,Challenger,-10.26182156197821,West,1193000,49.63997262149213,90.3107460643395,40.67077344284736
Arizona,1960,Lee,Ackerman,Democrat,Male,1995-11-13,Challenger,-18.608838423900863,West,1321000,39.01984941820671,74.03969883641342,35.01984941820671
Arizona,1960,Paul,Fannin,Republican,Male,2002-01-13,Incumbent,18.608838423900863,West,1321000,53.76865160848734,94.95687885010267,41.18822724161533
Arizona,1962,Paul,Fannin,Republican,Male,2002-01-13,Incumbent,9.653100663949644,West,1471000,55.76728268309377,94.95687885010267,39.1895961670089
Arizona,1962,Sam,Goddard,Democrat,Male,2006-02-01,Challenger,-9.653100663949644,West,1471000,43.24435318275154,86.48596851471595,43.24161533196441
Arizona,1964,Sam,Goddard,Democrat,Male,2006-02-01,Challenger,6.482337983788881,West,1556000,45.24572210814511,86.48596851471595,41.24024640657084
Arizona,1964,Richard,Kleindienst,Republican,Male,2000-02-03,Challenger,-6.482337983788881,West,1556000,41.2539356605065,76.49828884325804,35.24435318275154
Arizona,1966,Sam,Goddard,Democrat,Male,2006-02-01,Incumbent,-7.541853666788249,West,1614000,47.24435318275154,86.48596851471595,39.24161533196441
Arizona,1966,Jack,Williams,Republican,Male,1998-08-24,Challenger,7.541853666788249,West,1614000,57.01848049281314,88.8186173853525,31.800136892539356
Arizona,1968,Sam,Goddard,Democrat,Male,2006-02-01,Challenger,-15.671139136938578,West,1682000,49.24572210814511,86.48596851471595,37.24024640657084
Arizona,1968,Jack,Williams,Republican,Male,1998-08-24,Incumbent,15.671139136938578,West,1682000,59.01984941820671,88.8186173853525,29.79876796714579
Arizona,1970,Raul,Castro,Democrat,Male,2015-04-10,Challenger,-1.8558174468715976,West,1794912,54.39835728952772,98.82546201232033,44.427104722792606
Arizona,1970,Jack,Williams,Republican,Male,1998-08-24,Incumbent,1.8558174468715976,West,1794912,61.01848049281314,88.8186173853525,27.800136892539356
Arizona,1974,Raul,Castro,Democrat,Male,2015-04-10,Challenger,0.8515548438634966,West,2224342,58.39835728952772,98.82546201232033,40.427104722792606
Arizona,1974,Jack,Williams,Republican,Male,1998-08-24,Incumbent,-0.8515548438634966,West,2224342,65.01848049281314,88.8186173853525,23.800136892539356
Arizona,1978,Evan,Mecham,Republican,Male,2008-02-21,Challenger,-7.926705849554516,West,2517852,54.483230663928815,83.77823408624229,29.295003422313485
Arizona,1986,Evan,Mecham,Republican,Male,2008-02-21,Challenger,6.988189435665632,West,3308261,62.483230663928815,83.77823408624229,21.295003422313485
Arizona,1986,Carolyn,Warner,Democrat,Female,2018-10-09,Challenger,-6.988189435665632,West,3308261,56.26009582477755,88.18617385352498,31.926078028747433
Arizona,1994,Eddie,Basha,Democrat,Male,2013-03-26,Challenger,-8.480214660288766,West,4245089,57.19917864476386,75.58658453114305,18.38740588637919
Arkansas,1946,Ben,Laney,Democrat,Male,1977-07-01,Incumbent,68.27985962329622,South,1805000,50.34360027378508,80.99657768651609,30.652977412731005
Arkansas,1948,Charles,Black,Republican,Male,2002-01-11,Challenger,-78.30278665907946,South,1825000,35.32101300479124,88.50376454483231,53.18275154004107
Arkansas,1948,Sidney,Mcmath,Democrat,Male,2003-10-04,Challenger,78.30278665907946,South,1825000,36.394250513347025,91.30458590006845,54.91033538672142
Arkansas,1950,Sidney,Mcmath,Democrat,Male,2003-10-04,Incumbent,68.2711988419363,South,1908000,38.392881587953454,91.30458590006845,52.91170431211499
Arkansas,1950,Jefferson,Speck,Republican,Male,1993-01-30,Challenger,-68.2711988419363,South,1908000,33.86447638603696,76.10130047912389,42.23682409308692
Arkansas,1952,Francis,Cherry,Democrat,Male,1965-07-15,Challenger,74.82430334232245,South,1838000,44.167008898015055,56.85694729637235,12.68993839835729
Arkansas,1952,Jefferson,Speck,Republican,Male,1993-01-30,Challenger,-74.82430334232245,South,1838000,35.865845311430526,76.10130047912389,40.23545516769336
Arkansas,1954,Orval,Faubus,Democrat,Male,1994-12-14,Challenger,24.20499813502424,South,1734000,44.82683093771389,84.93360711841204,40.106776180698155
Arkansas,1954,Pratt,Remmel,Republican,Male,1991-05-14,Challenger,-24.20499813502424,South,1734000,39.0280629705681,75.5482546201232,36.5201916495551
Arkansas,1956,Orval,Faubus,Democrat,Male,1994-12-14,Incumbent,61.29690335127766,South,1704000,46.82819986310746,84.93360711841204,38.105407255304584
Arkansas,1958,Orval,Faubus,Democrat,Male,1994-12-14,Incumbent,64.94217215200462,South,1726000,48.82683093771389,84.93360711841204,36.106776180698155
Arkansas,1960,Henry,Britt,Republican,Male,1995-02-17,Challenger,-38.42387762598196,South,1789000,41.40999315537303,75.69336071184121,34.28336755646817
Arkansas,1960,Orval,Faubus,Democrat,Male,1994-12-14,Incumbent,38.42387762598196,South,1789000,50.82819986310746,84.93360711841204,34.105407255304584
Arkansas,1962,Orval,Faubus,Democrat,Male,1994-12-14,Incumbent,46.542591174064896,South,1853000,52.82683093771389,84.93360711841204,32.106776180698155
Arkansas,1962,Willis,Ricketts,Republican,Male,2003-01-12,Challenger,-46.542591174064896,South,1853000,37.89185489390828,78.07802874743327,40.186173853524984
Arkansas,1964,Orval,Faubus,Democrat,Male,1994-12-14,Incumbent,14.006925090786254,South,1897000,54.82819986310746,84.93360711841204,30.105407255304584
Arkansas,1964,Winthrop,Rockefeller,Republican,Male,1973-02-22,Challenger,-14.006925090786254,South,1897000,52.51471594798083,60.813141683778234,8.2984257357974
Arkansas,1966,James,Johnson,Democrat,Male,2010-02-13,Challenger,-8.716707451461957,South,1899000,42.209445585215605,85.4839151266256,43.27446954140999
Arkansas,1966,Winthrop,Rockefeller,Republican,Male,1973-02-22,Challenger,8.716707451461957,South,1899000,54.51334702258727,60.813141683778234,6.299794661190965
Arkansas,1968,Marion,Crank,Democrat,Male,1994-12-19,Challenger,-4.867525463376587,South,1902000,53.713894592744694,79.83299110198494,26.119096509240247
Arkansas,1968,Winthrop,Rockefeller,Republican,Male,1973-02-22,Incumbent,4.867525463376587,South,1902000,56.51471594798083,60.813141683778234,4.298425735797399
Arkansas,1970,Dale,Bumpers,Democrat,Male,2016-01-01,Challenger,31.33030104917964,South,1930077,45.23203285420944,90.3874058863792,45.15537303216975
Arkansas,1970,Winthrop,Rockefeller,Republican,Male,1973-02-22,Incumbent,-31.33030104917964,South,1930077,58.51334702258727,60.813141683778234,2.299794661190965
Arkansas,1972,Len,Blaylock,Republican,Male,2012-03-25,Challenger,-50.876527036472964,South,2018116,53.91101984941821,93.29500342231348,39.383983572895275
Arkansas,1972,Dale,Bumpers,Democrat,Male,2016-01-01,Incumbent,50.876527036472964,South,2018116,47.233401779603014,90.3874058863792,43.15400410677618
Arkansas,1976,Leon,Griffith,Republican,Male,2010-07-13,Challenger,-66.50628303010873,South,2168688,40.79671457905544,74.48049281314168,33.68377823408624
Arkansas,1978,A.,Lowe,Republican,Male,2010-08-14,Challenger,-26.728902688301147,South,2241019,42.666666666666664,74.43942505133471,31.772758384668034
Arkansas,1980,Frank,White,Republican,Male,2003-05-21,Challenger,3.8672110140954175,South,2288738,47.422313483915126,69.96030116358658,22.537987679671456
Arkansas,1982,Frank,White,Republican,Male,2003-05-21,Incumbent,-9.420270576714287,South,2294254,49.42094455852156,69.96030116358658,20.539356605065024
Arkansas,1986,Frank,White,Republican,Male,2003-05-21,Challenger,-27.759584902317577,South,2331988,53.42094455852156,69.96030116358658,16.539356605065024
California,1946,Earl,Warren,Republican,Male,1974-07-09,Incumbent,85.69739826329115,West,9727000,55.630390143737166,83.30458590006845,27.67419575633128
California,1950,James,Roosevelt,Democrat,Male,1991-08-13,Challenger,-29.715855949373093,West,10677000,42.86926762491444,83.63860369609856,40.76933607118412
California,1950,Earl,Warren,Republican,Male,1974-07-09,Incumbent,29.715855949373093,West,10677000,59.630390143737166,83.30458590006845,23.67419575633128
California,1954,Richard,Graves,Democrat,Male,1989-06-06,Challenger,-13.67658696137137,West,12746000,48.818617385352496,83.4031485284052,34.5845311430527
California,1954,Goodwin,Knight,Republican,Male,1970-05-22,Incumbent,13.67658696137137,West,12746000,57.90280629705681,73.44558521560575,15.542778918548938
California,1958,Edmund,Brown,Democrat,Male,1996-02-16,Challenger,19.59945815900896,West,14880000,53.541409993155376,90.8227241615332,37.281314168377826
California,1958,William,Knowland,Republican,Male,1974-02-23,Challenger,-19.59945815900896,West,14880000,50.36002737850787,65.66187542778918,15.301848049281315
California,1962,Edmund,Brown,Democrat,Male,1996-02-16,Incumbent,5.1364786601724575,West,17072000,57.541409993155376,90.8227241615332,33.281314168377826
California,1962,Richard,Nixon,Republican,Male,1994-04-22,Challenger,-5.1364786601724575,West,17072000,49.82067077344285,81.28131416837782,31.460643394934976
California,1966,Edmund,Brown,Democrat,Male,1996-02-16,Challenger,-15.306926724795893,West,18858000,61.541409993155376,90.8227241615332,29.281314168377822
California,1966,Ronald,Reagan,Republican,Male,2004-06-05,Challenger,15.306926724795893,West,18858000,55.74537987679671,93.32785763175907,37.582477754962355
California,1970,Ronald,Reagan,Republican,Male,2004-06-05,Incumbent,7.852305043011086,West,20023181,59.74537987679671,93.32785763175907,33.582477754962355
California,1970,Jess,Unruh,Democrat,Male,1987-08-04,Challenger,-7.852305043011086,West,20023181,48.09856262833676,64.84325804243669,16.744695414099933
California,1974,Edmund,Brown,Democrat,Male,1996-02-16,Challenger,2.936823148005402,West,21172548,69.54140999315537,90.8227241615332,21.281314168377822
California,1974,Houston,Flournoy,Republican,Male,2008-01-07,Challenger,-2.936823148005402,West,21172548,45.07871321013005,78.25051334702259,33.17180013689254
California,1978,Edmund,Brown,Democrat,Male,1996-02-16,Incumbent,21.11170887567979,West,22838960,73.54140999315537,90.8227241615332,17.281314168377822
California,1978,Evelle,Younger,Republican,Male,1989-05-04,Challenger,-21.11170887567979,West,22838960,60.380561259411365,70.87474332648871,10.494182067077345
California,1982,Tom,Bradley,Democrat,Male,1998-09-29,Challenger,-1.217223348520207,West,24820007,64.85147159479808,80.75017111567419,15.898699520876113
California,1982,George,Deukmejian,Republican,Male,2018-05-08,Challenger,1.217223348520207,West,24820007,54.41478439425051,89.919233401779607,35.50444900752909
California,1986,Tom,Bradley,Democrat,Male,1998-09-29,Challenger,-23.666471605576874,West,27102238,68.85147159479808,80.75017111567419,11.898699520876113
California,1986,George,Deukmejian,Republican,Male,2018-05-08,Incumbent,23.666471605576874,West,27102238,58.41478439425051,89.919233401779607,31.50444900752909
Colorado,1946,William,Knous,Democrat,Male,1959-12-11,Challenger,4.2141294648852465,West,1196000,57.752224503764545,70.85010266940452,13.097878165639973
Colorado,1946,Leon,Lavington,Republican,Male,1961-12-13,Challenger,-4.2141294648852465,West,1196000,57.073237508555785,72.17796030116358,15.104722792607802
Colorado,1948,David,Hamil,Republican,Male,2002-07-27,Challenger,-32.65507893477914,West,1263000,39.9233401779603,93.64544832306639,53.72210814510609
Colorado,1948,William,Knous,Democrat,Male,1959-12-11,Incumbent,32.65507893477914,West,1263000,59.75359342915811,70.85010266940452,11.096509240246407
Colorado,1950,Walter,Johnson,Democrat,Male,1987-03-23,Challenger,-5.227746035136427,West,1325000,46.554414784394254,82.93223819301848,36.37782340862423
Colorado,1950,Dan,Thornton,Republican,Male,1976-01-18,Challenger,5.227746035136427,West,1325000,39.761806981519506,64.9637234770705,25.201916495550993
Colorado,1952,John,Metzger,Democrat,Male,1984-01-25,Challenger,-14.735199223565829,West,1365000,41.59069130732375,72.8104038329911,31.21971252566735
Colorado,1952,Dan,Thornton,Republican,Male,1976-01-18,Incumbent,14.735199223565829,West,1365000,41.76317590691308,64.9637234770705,23.200547570157426
Colorado,1954,Donald,Brotzman,Republican,Male,2004-09-15,Challenger,-7.123013441189684,West,1493000,32.355920602327174,82.217659137577,49.86173853524983
Colorado,1954,Edwin,Johnson,Democrat,Male,1970-05-30,Challenger,7.123013441189684,West,1493000,70.84188911704312,86.40657084188912,15.564681724845997
Colorado,1956,Donald,Brotzman,Republican,Male,2004-09-15,Challenger,-2.6863164159303707,West,1625000,34.35728952772074,82.217659137577,47.860369609856264
Colorado,1956,Stephen,Mcnichols,Democrat,Male,1997-11-25,Challenger,2.6863164159303707,West,1625000,42.666666666666664,83.72073921971253,41.054072553045856
Colorado,1958,Palmer,Burch,Republican,Male,1990-06-28,Challenger,-16.82805633966767,West,1667000,51.66598220396988,83.31006160164272,31.644079397672826
Colorado,1958,Stephen,Mcnichols,Democrat,Male,1997-11-25,Incumbent,16.82805633966767,West,1667000,44.6652977412731,83.72073921971253,39.05544147843943
Colorado,1962,John,Love,Republican,Male,2002-01-21,Challenger,14.12079081132643,West,1899000,45.93292265571527,85.14442162902122,39.21149897330596
Colorado,1962,Stephen,Mcnichols,Democrat,Male,1997-11-25,Incumbent,-14.12079081132643,West,1899000,48.6652977412731,83.72073921971253,35.05544147843943
Colorado,1966,Robert,Knous,Democrat,Male,2000-05-15,Challenger,-10.809459169822105,West,2007000,49.01026694045174,82.53524982888433,33.52498288843258
Colorado,1966,John,Love,Republican,Male,2002-01-21,Incumbent,10.809459169822105,West,2007000,49.93292265571527,85.14442162902122,35.21149897330596
Colorado,1970,Mark,Hogan,Democrat,Male,2017-02-12,Challenger,-7.388818628066424,West,2223979,39.77275838466804,86.04517453798768,46.27241615331965
Colorado,1970,John,Love,Republican,Male,2002-01-21,Incumbent,7.388818628066424,West,2223979,53.93292265571527,85.14442162902122,31.211498973305954
Colorado,1974,John,Vanderhoof,Republican,Male,2013-09-19,Incumbent,-7.595603495157938,West,2541318,52.4435318275154,91.31553730321697,38.87200547570158
Colorado,1978,Ted,Strickland,Republican,Male,2012-03-14,Challenger,-20.8034175447442,West,2766725,46.13278576317591,79.4880219028063,33.35523613963039
Colorado,1982,John,Fuhr,Republican,Male,2017-02-01,Challenger,-34.943590845600085,West,3061562,54.15468856947297,88.39698836413416,34.24229979466119
Colorado,1986,Ted,Strickland,Republican,Male,2012-03-14,Challenger,-17.312002436366576,West,3237448,54.13278576317591,79.4880219028063,25.35523613963039
Connecticut,1946,James,Mcconaughy,Republican,Male,1948-03-07,Challenger,14.736025251972038,Northeast,1911000,59.03901437371663,60.375085557837096,1.3360711841204653
Connecticut,1946,Wilbert,Snow,Democrat,Male,1977-09-28,Incumbent,-14.736025251972038,Northeast,1911000,62.57905544147844,93.4757015742642,30.89664613278576
Connecticut,1948,Chester,Bowles,Democrat,Male,1986-05-25,Challenger,0.3107512978949103,Northeast,2014000,47.58658453114305,85.13620807665983,37.549623545516766
Connecticut,1948,James,Shannon,Republican,Male,1980-03-06,Incumbent,-0.3107512978949103,Northeast,2014000,52.290212183436005,83.62217659137578,31.33196440793977
Connecticut,1950,Chester,Bowles,Democrat,Male,1986-05-25,Incumbent,-1.9880302212375938,Northeast,2016000,49.58521560574949,85.13620807665983,35.55099247091034
Connecticut,1950,Henry,Lodge,Republican,Male,1985-02-27,Challenger,1.9880302212375938,Northeast,2016000,48.336755646817245,82.65023956194388,34.313483915126625
Connecticut,1954,Henry,Lodge,Republican,Male,1985-02-27,Incumbent,-0.3370588343499179,Northeast,2249000,52.336755646817245,82.65023956194388,30.313483915126625
Connecticut,1954,Abraham,Ribicoff,Democrat,Male,1998-02-22,Challenger,0.3370588343499179,Northeast,2249000,44.57494866529774,87.87405886379193,43.29911019849418
Connecticut,1958,Abraham,Ribicoff,Democrat,Male,1998-02-22,Incumbent,25.460287540200234,Northeast,2446000,48.57494866529774,87.87405886379193,39.29911019849418
Connecticut,1958,Fred,Zeller,Republican,Male,1978-07-01,Challenger,-25.460287540200234,Northeast,2446000,59.16495550992471,78.81724845995893,19.652292950034223
Connecticut,1962,John,Alsop,Republican,Male,2000-04-06,Challenger,-6.413058120186577,Northeast,2647000,47.34017796030116,84.75838466803559,37.41820670773443
Connecticut,1962,John,Dempsey,Democrat,Male,1989-07-16,Incumbent,6.413058120186577,Northeast,2647000,47.83846680355921,74.53251197809719,26.694045174537987
Connecticut,1966,John,Dempsey,Democrat,Male,1989-07-16,Incumbent,11.413451571466119,Northeast,2903000,51.83846680355921,74.53251197809719,22.694045174537987
Connecticut,1966,E.,Gengras,Republican,Male,1983-06-25,Challenger,-11.413451571466119,Northeast,2903000,58.20670773442848,74.84188911704312,16.635181382614647
Connecticut,1970,Emilio,Daddario,Democrat,Male,2010-07-07,Challenger,-7.53647523230822,Northeast,3038782,52.114989733059545,91.78370978781656,39.66872005475702
Connecticut,1970,Thomas,Meskill,Republican,Male,2007-10-29,Challenger,7.53647523230822,Northeast,3038782,42.76522929500342,79.74537987679672,36.98015058179329
Connecticut,1974,Ella,Grasso,Democrat,Female,1981-02-05,Challenger,18.762452025960194,Northeast,3075784,55.49075975359343,61.74401095140315,6.253251197809719
Connecticut,1978,Ella,Grasso,Democrat,Female,1981-02-05,Incumbent,18.42653982664124,Northeast,3094839,59.49075975359343,61.74401095140315,2.2532511978097194
Connecticut,1982,William,O'neill,Democrat,Male,2007-11-24,Incumbent,7.480318985313694,Northeast,3139014,52.23545516769336,77.28678986995209,25.05133470225873
Connecticut,1982,Lewis,Rome,Republican,Male,2015-07-01,Challenger,-7.480318985313694,Northeast,3139014,49.14715947980835,81.79876796714579,32.65160848733744
Connecticut,1986,William,O'neill,Democrat,Male,2007-11-24,Incumbent,16.984494887346855,Northeast,3223741,56.23545516769336,77.28678986995209,21.05133470225873
Delaware,1948,Elbert,Carvel,Democrat,Male,2005-02-06,Challenger,7.3702212562796205,South,312000,38.7378507871321,94.99247091033538,56.25462012320329
Delaware,1948,Hyland,George,Republican,Male,2005-02-06,Challenger,-7.3702212562796205,South,312000,38.7378507871321,94.99247091033538,56.25462012320329
Delaware,1952,James,Boggs,Republican,Male,1993-03-26,Challenger,4.219644038910914,South,341000,43.47707049965777,83.86310746064339,40.38603696098563
Delaware,1952,Elbert,Carvel,Democrat,Male,2005-02-06,Incumbent,-4.219644038910914,South,341000,42.7378507871321,94.99247091033538,52.25462012320329
Delaware,1956,James,Boggs,Republican,Male,1993-03-26,Incumbent,3.908209612907605,South,408000,47.47707049965777,83.86310746064339,36.38603696098563
Delaware,1956,J.,Mcconnell,Democrat,Male,1989-03-13,Challenger,-3.908209612907605,South,408000,41.95208761122519,74.3025325119781,32.35044490075291
Delaware,1960,Elbert,Carvel,Democrat,Male,2005-02-06,Challenger,3.4639566812944267,South,449000,50.7378507871321,94.99247091033538,44.25462012320329
Delaware,1960,John,Rollins,Republican,Male,2000-04-04,Challenger,-3.4639566812944267,South,449000,44.199863107460644,83.61122518822724,39.4113620807666
Delaware,1964,David,Buckson,Republican,Male,2017-01-17,Challenger,-2.7091836479809785,South,497000,44.28199863107461,96.48186173853524,52.199863107460644
Delaware,1964,Charles,Terry,Democrat,Male,1970-02-06,Challenger,2.7091836479809785,South,497000,64.13415468856947,69.38809034907598,5.253935660506502
Delaware,1968,Russell,Peterson,Republican,Male,2011-02-21,Challenger,1.022075674212175,South,534000,52.09034907597536,94.38466803559206,42.2943189596167
Delaware,1968,Charles,Terry,Democrat,Male,1970-02-06,Incumbent,-1.022075674212175,South,534000,68.13415468856947,69.38809034907598,1.2539356605065024
Delaware,1972,Russell,Peterson,Republican,Male,2011-02-21,Incumbent,-3.3902414296230674,South,573821,56.09034907597536,94.38466803559206,38.2943189596167
Delaware,1972,Sherman,Tribbitt,Democrat,Male,2010-08-14,Challenger,3.3902414296230674,South,573821,49.99041752224504,87.76180698151951,37.77138945927447
Delaware,1976,Sherman,Tribbitt,Democrat,Male,2010-08-14,Incumbent,-14.495353294358608,South,592755,53.99041752224504,87.76180698151951,33.77138945927447
Delaware,1980,William,Gordy,Democrat,Male,1993-11-15,Challenger,-42.46329870397498,South,594919,55.70704996577687,68.7337440109514,13.026694045174539
Delaware,1984,William,Quillen,Democrat,Male,2016-08-19,Challenger,-11.058649641779411,South,611565,49.34976043805612,81.13620807665983,31.786447638603697
Delaware,1988,Jacob,Kreshtoll,Democrat,Male,2017-04-11,Challenger,-41.4624388983577,South,647621,70.16563997262149,98.59548254620123,28.42984257357974
Delaware,1992,B.,Scott,Republican,Male,2008-02-17,Challenger,-32.8186900662742,South,694925,59.813826146475016,75.0965092402464,15.28268309377139
Florida,1948,Bert,Acker,Republican,Male,1960-03-07,Challenger,-66.7172189540484,South,2578000,66.12183436002738,77.45653661875428,11.3347022587269
Florida,1948,Fuller,Warren,Democrat,Male,1973-09-23,Challenger,66.7172189540484,South,2578000,43.09103353867214,67.97262149212868,24.88158795345654
Florida,1952,Daniel,Mccarty,Democrat,Male,1953-09-28,Challenger,49.666615536530884,South,3157000,40.799452429842574,41.69472963723477,0.8952772073921971
Florida,1956,Leroy,Collins,Democrat,Male,1991-03-12,Incumbent,47.3792613426389,South,4047000,47.657768651608485,82.00410677618069,34.34633812457221
Florida,1960,Farris,Bryant,Democrat,Male,2002-03-01,Challenger,19.690166506616087,South,5004000,46.280629705681044,87.59753593429159,41.31690622861054
Florida,1964,Haydon,Burns,Democrat,Male,1987-11-22,Challenger,15.264181705601317,South,5781000,52.63791923340178,75.68240930869267,23.044490075290895
